,工业废气,烟尘排放,其中工业,其中生活,二氧化硫,其中工业,其中生活,废水排放总量,其中工业,废水化学需氧量排放总量,其中工业,污水处理厂数目,污水处理量,公共厕所,垃圾处理点,废物箱,倒粪站,化粪池,垃圾产生总量,其中生活,其中建筑,清运粪便,环保投资,其中城市基建,环保投资占GDP比例,自然保护区覆盖率
1978.00,,,,,,,,,,,,,,706,13840,2333,3303,25540,214,108,106,418,,,,
1979.00,,,,,,,,,,,,,,696,12695,3151,3382,25915,250,125,126,374,,,,
1980.00,,,,,,,,,,,,,,713,15707,3402,3445,26754,272,131,141,331,,,,
1981.00,,,,,,,,,,,,,,740,17905,2546,3464,27407,272,146,126,329,,,,
1982.00,,,,,,,,,,,,,,760,18824,2821,3484,28652,296,169,127,325,,,,
1983.00,,,,,,,,,,,,,,778,17859,2733,3467,29977,280,166,113,311,,,,
1984.00,,,,,,,,,,,,,,798,20384,3890,3481,30943,308,185,123,272,,,,
1985.00,,,,,,,,,,,,,,952.00,22870,5700,3470,33477,305,196,109,252,,,,
1986.00,,,,,,,,,,,,,,950.00,31142,5983,3537,39175,328,226,102,263,,,,
1987.00,,,,,,,,,,,,,,978,37751,6341,3587,40042,325,229,97,262,,,,
1988.00,,,,,,,,,,,,,,992,42802,5117,3342,41171,329,240,89,249,,,,
1989.00,,,,,,,,,,,,,,1057,46149,5276,3107,41349,344,250,94,246,,,,
1990.00,,,,,,,,,,,,,,1016,46368,4921,2973,43655,382,279,103,243,,,,
1991.00,,,,,,,,,,,,,,1033,40309,4980,3006,43089,393,296,97,229,,,,
1992.00,,,,,,,,,,,,,,1048,44752,4961,2655,43694,428,301,127,242,,,,
1993.00,,,,,,,,,,,,,,1104,46741,5756,2732,43323,488,335,152,234,,,,
1994.00,,,,,,,,,,,,,,1100,50292,6993,2739,43125,558,358,200,240,,,2.06,
1995.00,4625,20.78,13.33,7.45,53.41,38.15,15.26,22.45,11.61,,12.29,17.00,14665,1100,48563,9019,2532,43151,668,372,296,216,46.49,,1.86,
1996.00,4757,15.78,14.77,1.01,51.00,43.30,7.70,22.85,11.41,27.46,12.16,20.00,12876,1112,51456,9522,2412,38657,736,419,317,217,68.83,,2.33,
1997.00,4755,17.08,13.38,3.70,50.85,43.62,7.23,21.10,9.99,38.55,11.70,22.00,14790,1120,53643,12735,2207,44440,755,454,301,227,82.35,,2.39,
1998.00,4912,15.63,10.74,4.89,48.89,39.09,9.80,20.81,9.00,36.55,9.63,22.00,15605,1203,59498,15968,2127,41760,824,470,353,218,102.13,,2.69,
1999.00,4947,13.57,9.00,4.57,40.31,31.09,9.22,20.28,8.52,34.98,8.92,22.00,17479,1311,66067,17326,2192,44694,767,500,267,172,111.57,,2.66,
2000.00,5755,14.12,8.32,5.80,46.49,32.68,13.81,19.37,7.25,31.87,6.93,27.00,23028,2215,22470,23189,2045,46921,858,641,217,256,141.91,,2.97,7.8
2001.00,6964,13.52,6.23,7.29,47.26,30.00,17.26,19.50,6.80,30.48,5.27,26.00,29487,2406,17694,24672,1890,47500,901,644,257,219,152.93,,2.94,10.5
2002.00,7440,10.74,5.60,5.14,44.66,32.49,12.17,19.21,6.49,32.96,4.78,27.00,30658,3776,26787,29517,1846,49220,760,467,293,238,162.39,126.99,2.83,11.8
2003.00,7799,11.54,4.97,6.57,43.54,30.07,13.47,18.22,6.11,28.38,4.38,30.00,39891,3468,27814,31272,1709,48831,800,585,215,251,191.53,144.05,2.86,11.8
2004.00,8834,12.27,5.25,7.02,47.31,34.95,12.36,19.34,5.64,29.38,3.76,37.00,95301,3640,28649,34571,1611,47579,802,610,192,258,225.37,166.90,2.79,11.8
2005.00,8482,11.52,4.95,6.57,51.28,37.52,13.76,19.97,5.11,30.44,3.66,42.00,117833,3640,28388,39539,1689,47424,777,622,155,254,281.18,201.01,3.04,11.8
2006.00,9428,11.29,4.73,6.56,50.80,37.43,13.37,22.37,4.83,30.20,3.53,43.00,155726,3746,29812,44888,2253,46217,805,658,146,247,310.85,177.81,2.94,11.8
2007.00,9591,10.60,4.04,6.56,49.78,36.44,13.34,22.66,4.76,29.44,3.38,45.00,152886,5415,29538,47739,2158,45841,852,702,150,232,366.12,233.22,2.93,12.1
2008.00,10436,10.63,4.06,6.57,44.61,29.80,14.81,22.60,4.41,26.67,2.76,47.00,177090,5866,29965,56485,2064,45537,841,678,153,220,422.37,284.30,3.00,12.1
2009.00,10059,10.18,3.64,6.54,37.89,23.93,13.96,23.05,4.12,24.34,2.90,51.00,171609,5633,30584,67465,2257,43775,870,710,160,221,460.42,282.74,3.06,12.1
2010.00,12969,10.21,4.18,6.03,35.81,26.32,9.49,24.82,3.67,21.98,2.16,52.00,189654,6026,30645,74658,1900,43170,890,732,158,201,507.54,294.73,2.96,12.1
2011.00,13692,8.98,6.64,2.34,24.01,21.01,3.00,19.86,4.46,24.90,2.74,53.00,193354,5768,30648,78213,1868,42652,1142,704,438,207,557.92,316.79,2.91,12.1
2012.00,13361,8.71,6.37,2.34,22.82,19.34,3.48,22.05,4.77,24.26,2.62,53.00,200685,6340,31625,82454,1837,42306,11728,716,11012,200,570.49,286.26,2.83,11.8
2013.00,13344,8.09,6.72,1.37,21.58,17.29,4.29,22.30,4.54,23.56,2.55,53.00,203222,6224,32018,98266,1800,43887,13716,735,12981,222,607.88,284.18,2.81,11.8
2014.00,13007,14.17,13.14,1.03,18.81,15.54,3.27,22.12,4.39,22.44,2.48,53.00,208145,6168,32122,98857,1756,43629,15135,743,14392,200,699.89,271.79,2.97,11.8
2015.00,12802,12.07,11.14,0.93,17.08,10.49,6.59,22.41,4.69,19.88,2.27,53.00,213944,6197,32209,94310,1729,43582,10755,790,9965,173,708.83,246.65,2.82,11.8
2016.00,12669,7.95,7.28,0.67,7.42,6.74,0.68,22.08,3.66,14.75,1.44,53.00,267954,6220,32257,81246,1832,43983,7796,880,6916,160,823.57,319.00,3.00,11.8
2017.00,13867,4.70,3.03,1.67,1.85,1.27,0.58,21.20,3.16,14.18,1.29,52.00,263703,6221,32247,86246,1832,43983,6435,900,5535,158,923.53,367.14,3.10,11.8
